"GEOID","NAME","year","category","estimate","moe"
"47037016000","Census Tract 160, Davidson County, Tennessee",2010,"Adjacent",14107,8601
"47037016100","Census Tract 161, Davidson County, Tennessee",2010,"Adjacent",19024,3563
"47037016200","Census Tract 162, Davidson County, Tennessee",2010,"Adjacent",17123,3908
"47037016300","Census Tract 163, Davidson County, Tennessee",2010,"Adjacent",22762,6208
"47037016400","Census Tract 164, Davidson County, Tennessee",2010,"Adjacent",25938,10186
"47037016500","Census Tract 165, Davidson County, Tennessee",2010,"Adjacent",30781,23257
"47037016600","Census Tract 166, Davidson County, Tennessee",2010,"Adjacent",32537,6896
"47037016800","Census Tract 168, Davidson County, Tennessee",2010,"Adjacent",56250,13898
"47037016900","Census Tract 169, Davidson County, Tennessee",2010,"Adjacent",73662,9143
"47037017000","Census Tract 170, Davidson County, Tennessee",2010,"Adjacent",50185,15786
"47037017100","Census Tract 171, Davidson County, Tennessee",2010,"Adjacent",52143,13435
"47037017200","Census Tract 172, Davidson County, Tennessee",2010,"Adjacent",31942,8618
"47037019500","Census Tract 195, Davidson County, Tennessee",2011,"CBD",41203,7089
"47037011300","Census Tract 113, Davidson County, Tennessee",2011,"Adjacent",27636,5140
"47037011700","Census Tract 117, Davidson County, Tennessee",2011,"Adjacent",34107,6583
"47037011800","Census Tract 118, Davidson County, Tennessee",2011,"Adjacent",20197,10691
"47037011900","Census Tract 119, Davidson County, Tennessee",2011,"Adjacent",25965,3749
"47037012100","Census Tract 121, Davidson County, Tennessee",2011,"Adjacent",52129,8432
"47037012200","Census Tract 122, Davidson County, Tennessee",2011,"Adjacent",48607,7300
"47037012600","Census Tract 126, Davidson County, Tennessee",2011,"Adjacent",30972,3954
"47037012702","Census Tract 127.02, Davidson County, Tennessee",2011,"Adjacent",43790,5275
"47037013400","Census Tract 134, Davidson County, Tennessee",2011,"Adjacent",63309,11814
"47037013500","Census Tract 135, Davidson County, Tennessee",2011,"Adjacent",35118,7697
"47037013601","Census Tract 136.01, Davidson County, Tennessee",2011,"Adjacent",23141,7313
"47037013602","Census Tract 136.02, Davidson County, Tennessee",2011,"Adjacent",14352,9729
"47037013700","Census Tract 137, Davidson County, Tennessee",2011,"Adjacent",26708,2729
"47037013800","Census Tract 138, Davidson County, Tennessee",2011,"Adjacent",26667,15876
"47037013900","Census Tract 139, Davidson County, Tennessee",2011,"Adjacent",20120,3753
"47037014200","Census Tract 142, Davidson County, Tennessee",2011,"Adjacent",14516,3055
"47037014300","Census Tract 143, Davidson County, Tennessee",2011,"Adjacent",26250,5710
"47037014400","Census Tract 144, Davidson County, Tennessee",2011,"Adjacent",20000,12309
"47037015900","Census Tract 159, Davidson County, Tennessee",2011,"Adjacent",15868,2282
"47037016000","Census Tract 160, Davidson County, Tennessee",2011,"Adjacent",13679,2581
"47037016100","Census Tract 161, Davidson County, Tennessee",2011,"Adjacent",19014,3129
"47037016200","Census Tract 162, Davidson County, Tennessee",2011,"Adjacent",15915,3314
"47037016300","Census Tract 163, Davidson County, Tennessee",2011,"Adjacent",23576,5173
"47037016400","Census Tract 164, Davidson County, Tennessee",2011,"Adjacent",29583,7273
"47037016500","Census Tract 165, Davidson County, Tennessee",2011,"Adjacent",24821,10756
"47037016600","Census Tract 166, Davidson County, Tennessee",2011,"Adjacent",37031,11099
"47037016700","Census Tract 167, Davidson County, Tennessee",2011,"Adjacent",82192,18234
"47037016800","Census Tract 168, Davidson County, Tennessee",2011,"Adjacent",52017,11964
"47037016900","Census Tract 169, Davidson County, Tennessee",2011,"Adjacent",79531,13240
"47037017000","Census Tract 170, Davidson County, Tennessee",2011,"Adjacent",60469,18578
"47037017100","Census Tract 171, Davidson County, Tennessee",2011,"Adjacent",54343,11691
"47037017200","Census Tract 172, Davidson County, Tennessee",2011,"Adjacent",37404,8080
"47037017300","Census Tract 173, Davidson County, Tennessee",2011,"Adjacent",37500,7364
"47037019200","Census Tract 192, Davidson County, Tennessee",2011,"Adjacent",36875,13681
"47037019300","Census Tract 193, Davidson County, Tennessee",2011,"Adjacent",10515,1823
"47037019400","Census Tract 194, Davidson County, Tennessee",2011,"Adjacent",23955,10653
"47037019600","Census Tract 196, Davidson County, Tennessee",2011,"Adjacent",36310,4429
"47037019500","Census Tract 195, Davidson County, Tennessee",2012,"CBD",45064,7007
"47037011300","Census Tract 113, Davidson County, Tennessee",2012,"Adjacent",29974,5430
"47037011700","Census Tract 117, Davidson County, Tennessee",2012,"Adjacent",31957,5928
"47037011800","Census Tract 118, Davidson County, Tennessee",2012,"Adjacent",26458,13972
"47037011900","Census Tract 119, Davidson County, Tennessee",2012,"Adjacent",28031,6459
"47037012100","Census Tract 121, Davidson County, Tennessee",2012,"Adjacent",51024,5380
